project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
SUITES AT ORCHARD,38 HANDY ROAD SUITES AT ORCHARD SINGAPORE 229239,21142.85714285714,20795.82375062191,private,103.84595755292777,1.300420061651532
MILL CREEK,10 LORONG MARZUKI MILL CREEK SINGAPORE 417052,12920.162393162393,12368.342928240152,private,103.90993762998465,1.3195532721579075
KIMSIA PARK,16 JALAN LADA PUTEH KIMSIA PARK SINGAPORE 228928,37997.39073711676,35753.42465753425,private,103.83493969434866,1.3057029178463238
THE CITRINE,18 JALAN DATOH THE CITRINE SINGAPORE 329415,15129.13702443551,14928.96541899105,private,103.84332386911882,1.327335167558533
SUITES 28,28 LORONG 30 GEYLANG SUITES 28 SINGAPORE 398361,13229.166666666668,12282.131942211905,private,103.8859411113931,1.312684591781351
ORANGE GROVE RESIDENCES,37 ORANGE GROVE ROAD ORANGE GROVE RESIDENCES SINGAPORE 258361,20945.945945945947,21792.981588672857,private,103.82501869017734,1.3137810520144186
LANDED HOUSING DEVELOPMENT in JALAN AWANG,8 JALAN AWANG SINGAPORE 419640,19778.15789473684,19778.15789473684,private,103.90647950092516,1.3234938058501147
RIVERBAY,23 MAR THOMA ROAD RIVERBAY SINGAPORE 328704,15833.333333333334,15591.787912826007,private,103.86254051926838,1.327987321195203
NASSIM PARK RESIDENCES,21 NASSIM ROAD NASSIM PARK RESIDENCES SINGAPORE 258462,40490.79754601227,40129.597131727314,private,103.82299067743799,1.3078884386289167
SHELFORD 23,23 SHELFORD ROAD SHELFORD 23 SINGAPORE 288413,18610.402855685876,18684.45130508775,private,103.81223449591758,1.3278356549297674
KEW LODGE,259D JALAN BESAR DREAM LODGE @ FARRER PARK SINGAPORE 208934,28559.213339033777,28559.213339033777,private,103.82082798347894,1.327838965890139
RESIDENTIAL APARTMENTS,233 TURF CLUB ROAD THE DAYSPRING RESIDENTIAL TREATMENT CENTRE SINGAPORE 287983,17383.17757009346,17383.17757009346,private,103.80672099238079,1.3315769883192072
SUNFLOWER RESIDENCE,45 LORONG 32 GEYLANG SUNFLOWER RESIDENCE SINGAPORE 398305,10638.297872340427,10638.297872340427,private,103.88714812133779,1.312413265143088
LUMA,6 RIVER VALLEY GROVE LUMA SINGAPORE 238403,20642.201834862386,20776.19569966,private,103.83459731240832,1.2967998948007626
ADAM PARK CONDOMINIUM,29A ADAM ROAD ADAM PARK CONDOMINIUM SINGAPORE 289902,16721.53086419753,16634.434137809007,private,103.81275116991164,1.3283914295772055
CORONATION SHOPPING PLAZA,587 BUKIT TIMAH ROAD DBS NTUC CORONATION SHOPPING PLAZA SINGAPORE 269707,15642.458100558659,15642.458100558659,private,103.81023438821408,1.3236755048788782
CANBERLIN APARTMENTS,60 LORONG 16 GEYLANG CANBERLIN APARTMENTS SINGAPORE 398887,8273.504273504273,8011.656351311523,private,103.87983470550077,1.3106844491043235
RESIDENTIAL APARTMENTS,100 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238701,10298.507462686568,10298.507462686568,private,103.85932538352142,1.313788689607977
LANDED HOUSING DEVELOPMENT in SHREWSBURY ROAD,98 SHREWSBURY ROAD SINGAPORE 307849,17434.04522367612,18091.13356489638,private,103.84946972203338,1.31832156996593
RESIDENTIAL APARTMENTS,100 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238701,19285.714285714286,27720.21766038441,private,103.84026619088552,1.2982504567008186
THE MIDAS,26 LORONG 30 GEYLANG THE MIDAS SINGAPORE 398359,10816.68516463189,11209.11265788519,private,103.8861144626405,1.3128732732310797
THE MORNINGSIDE,1 JALAN KUALA THE MORNINGSIDE SINGAPORE 239639,21090.909090909092,20973.125184942324,private,103.83584913827058,1.2953863919792254
LANDED HOUSING DEVELOPMENT in TAN KIM CHENG ROAD,26 TAN KIM CHENG ROAD SINGAPORE 266626,19518.82135648388,19518.82135648388,private,103.81179596952789,1.321813555517366
THE ASTON,2 KAY POH ROAD THE ASTON SINGAPORE 248973,18524.590163934427,18371.50947002553,private,103.82984981519878,1.2959364580745625
CARLYX RESIDENCE,39 CARLISLE ROAD CARLYX RESIDENCE SINGAPORE 219604,13907.407407407407,14026.082039028275,private,103.84795566310655,1.3132686199830637
ARDMORE II,1 ARDMORE PARK ARDMORE II SINGAPORE 259962,32446.8085106383,32666.223404255317,private,103.8275401838324,1.3098017857996542
THE SANCTUARY @ GEYLANG,1 LORONG 30 GEYLANG THE SANCTUARY @ GEYLANG SINGAPORE 398342,13730.15873015873,13567.356874832483,private,103.8864673182569,1.3134570921124407
REGENT VILLAS,105 JALAN LIM TAI SEE REGENT VILLAS SINGAPORE 268440,15333.333333333334,14096.696375255176,private,103.79099332224398,1.3218768821406748
JERVOIS MANSION,16 JERVOIS CLOSE JERVOIS MANSION SINGAPORE 249111,27444.3125,27633.08475504449,private,103.82376007403583,1.2925687101535606
LANDED HOUSING DEVELOPMENT in LORONG 14 GEYLANG,LORONG 14 GEYLANG,13748.133190298899,13748.133190298899,private,103.8796182724774,1.310463603321327
CITY SQUARE RESIDENCES,2 KITCHENER LINK CITY SQUARE RESIDENCES SINGAPORE 207229,19250.0,19319.130666335197,private,103.85747986080037,1.3111053584462398
BAODE BUILDING,8 LORONG 35 GEYLANG BAODE BUILDING SINGAPORE 387940,16917.293233082706,16917.293233082706,private,103.888715538714,1.3151790511489172
FYVE DERBYSHIRE,5 DERBYSHIRE ROAD FYVE DERBYSHIRE SINGAPORE 309461,25721.311475409835,25779.157581774623,private,103.84572211229391,1.316270674011452
THE DRAYCOTT,48 DRAYCOTT PARK THE DRAYCOTT SINGAPORE 259395,20510.204081632655,20239.732351957176,private,103.83124532496728,1.3116688974023725
CITY LOFT,363 RACE COURSE ROAD CITY LOFT SINGAPORE 218636,17794.95798319328,17277.065990262403,private,103.8566798636328,1.3150610596985193
GIFFARD MANSIONS,424 BALESTIER ROAD GIFFARD MANSIONS SINGAPORE 329810,12275.386503067484,12275.386503067484,private,103.84910065650774,1.3261971780548416
YUEN SING MANSION,7 JALAN KEMAMAN TAI PEI YUEN TEMPLE SINGAPORE 329333,17002.237136465323,17002.237136465323,private,103.87777611901939,1.313009077834086
LE SOMME,60 SOMME ROAD LE SOMME SINGAPORE 207876,17755.434782608696,17251.95652173913,private,103.85850392946105,1.3111921909053712
8 SAINT THOMAS,8 SAINT THOMAS WALK 8 SAINT THOMAS SINGAPORE 238146,29752.06611570248,30074.791890887198,private,103.83629245403782,1.2961434797928837
DYNASTY LODGE,267B SIXTH AVENUE DYNASTY LODGE SINGAPORE 276560,14617.142857142857,14617.142857142857,private,103.79239126135712,1.3237961622272048
KERRISDALE,36 STURDEE ROAD KERRISDALE SINGAPORE 207855,13641.02564102564,13772.73434243024,private,103.85837937819872,1.3135423035632199
LANDED HOUSING DEVELOPMENT in LORONG 34 GEYLANG,34 LORONG 34 GEYLANG GEYLANG HERITAGE SINGAPORE 398231,20211.53218586048,19232.43972830044,private,103.888143730489,1.3127823052316343
LANDED HOUSING DEVELOPMENT in GRANGE ROAD,67 GRANGE ROAD GRANGE ROAD APARTMENTS SINGAPORE 249572,18264.8401826484,18264.8401826484,private,103.82410904148121,1.2998786202966488
REGENCY LODGE,17 SHANGHAI ROAD REGENCY LODGE SINGAPORE 248191,19491.525423728814,18770.099956540635,private,103.82707043730659,1.2956550308186099
THE BLISS,128 RACE COURSE ROAD THE BLISS SINGAPORE 218586,14596.774193548386,14596.774193548386,private,103.85219422709594,1.3096762200792276
MOOI RESIDENCES,139 HOLLAND ROAD MOOI RESIDENCES SINGAPORE 278573,26951.80023228804,26608.969816100842,private,103.79835625248639,1.3125773059856582
CAVENAGH COURT,151 CAVENAGH ROAD CAVENAGH COURT SINGAPORE 229628,17884.35586006436,18612.763274245743,private,103.84315065266834,1.3099086073291635
LANDED HOUSING DEVELOPMENT in JALAN PELANGI,JALAN PELANGI,20046.196473551638,20046.196473551638,private,103.79322120824719,1.3168189197896691
PARC EMILY,15 MOUNT EMILY ROAD PARC EMILY SINGAPORE 228495,20356.792717086835,20545.588747935784,private,103.84913479433888,1.3035107319910428
BUCKLEY CLASSIQUE,11 BUCKLEY ROAD BUCKLEY CLASSIQUE SINGAPORE 309767,21755.725190839694,22396.951144465012,private,103.8403281232722,1.3179599892588336
LANDED HOUSING DEVELOPMENT in JALAN PARAS,11 JALAN UBI MINDS - EUNOS TRAINING & DEVELOPMENT CENTRE SINGAPORE 409074,14571.42857142857,15968.657157730848,private,103.91715694659369,1.326315418271474
LANDED HOUSING DEVELOPMENT in HOLLAND PARK,31 HOLLAND PARK HOLLAND VALE SINGAPORE 249482,19062.002507068395,19062.002507068395,private,103.80460257523288,1.3089634423283771
ST FRANCIS COURT,90 SAINT FRANCIS ROAD ST FRANCIS COURT SINGAPORE 328071,10000.0,10141.819803746655,private,103.86383386265395,1.324379662789858
BEAVERTON COURT,45 MOUNT SINAI RISE BEAVERTON COURT SINGAPORE 276958,17766.666666666668,17411.954022988506,private,103.7760882242661,1.3160799826264378
ONE BALMORAL,1A BALMORAL ROAD ONE BALMORAL SINGAPORE 259821,27413.419913419915,26771.04005568223,private,103.82977333020588,1.3138786395422408
CLAREMONT,161 KILLINEY ROAD CLAREMONT SINGAPORE 239569,21990.74074074074,21329.350646388157,private,103.8375969601258,1.2961237162833326
WATTEN ESTATE CONDOMINIUM,110 WATTEN ESTATE ROAD WATTEN ESTATE SINGAPORE 287595,14713.746004068584,16677.899816188685,private,103.8106287362676,1.3292338162936674
THE RICHMOND,7 SAINT MICHAEL'S ROAD THE RICHMOND SINGAPORE 327950,14977.158856469201,14573.230620430235,private,103.86440663345978,1.3249242841841857
MANDALAY MANSION,15 MINBU ROAD MANDALAY MANSION SINGAPORE 308166,11778.350515463917,11778.350515463919,private,103.84926749774498,1.3238494391891704
NEEM TREE,30 JALAN KEMAMAN NEEM TREE SINGAPORE 329341,19230.76923076923,19486.470111797855,private,103.85156837605199,1.327366468925817
CRADELS,10 LORONG LIMAU CRADELS SINGAPORE 328754,16666.666666666668,16566.600011060287,private,103.85391027749822,1.324671464768212
SMAILING COURT,52 LORONG MYDIN SMAILING COURT SINGAPORE 416851,9271.523178807947,9271.523178807947,private,103.91123668158747,1.3221883784090798
THOMSON 800,808 THOMSON ROAD THOMSON 800 SINGAPORE 298190,17620.988283239938,17718.48171854575,private,103.83874107594586,1.3411028334225765
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH TRELLIS TOWERS SINGAPORE 319773,19070.75471698113,18457.56184686761,private,103.84367307184002,1.3305089313159628
EDEN,15 MAPLE LANE EDEN PARK SINGAPORE 277554,51545.31126871552,54245.600210139215,private,103.83180213453075,1.310129551751596
LANDED HOUSING DEVELOPMENT in LEEDON ROAD,47 LEEDON ROAD LEEDON PARK SINGAPORE 267858,15923.931721846719,15923.931721846719,private,103.8009700406824,1.3144259650452796
THE ARC AT DRAYCOTT,5 DRAYCOTT DRIVE THE ARC AT DRAYCOTT SINGAPORE 259420,27428.571428571428,26549.910269807504,private,103.83089643498899,1.3092142977463435
THE LADYHILL,1 LADY HILL ROAD THE LADYHILL SINGAPORE 258670,23934.426229508197,25268.198564327548,private,103.82504008478826,1.3104376732863112
DALVEY HAUS,101 DALVEY ROAD DALVEY HAUS SINGAPORE 259514,37313.432835820895,37308.514827421284,private,103.8251896181344,1.3162627141963044
RESIDENTIAL APARTMENTS,100 OXLEY RISE HOLLYWOOD APARTMENTS SINGAPORE 238701,19642.85714285714,19642.85714285714,private,103.83924828769705,1.3170109966453971
THE ABERDEEN,2 JALAN TAMAN THE ABERDEEN SINGAPORE 329023,13966.659140513284,14043.6976076718,private,103.86549809329567,1.3255340175668864
RACE COURSE BUILDING,418 RACE COURSE ROAD RACE COURSE ROAD/OWEN ROAD CONSERVATION AREA SINGAPORE 218665,9918.755033398076,9918.755033398076,private,103.85741785254822,1.3157771399366274
MOUNT ECHO PARK,36 MOUNT ECHO PARK MOUNT ECHO PARK SINGAPORE 248791,18429.994816563958,18429.994816563958,private,103.82026845103155,1.2954116603961412
LANDED HOUSING DEVELOPMENT in ST. FRANCIS ROAD,112 SAINT FRANCIS ROAD SINGAPORE 328081,12771.717143401413,12771.717143401413,private,103.86445354424411,1.325340865165021
WU DE BUILDING,6A BEATTY ROAD WU DE BUILDING SINGAPORE 209946,11111.111111111111,11023.226616446955,private,103.85796439816515,1.3140172518860969
PENANG SERVICE APARTMENTS,16 LORONG 34 GEYLANG PENANG SERVICE APARTMENTS SINGAPORE 398213,11587.738317757008,11649.954265261484,private,103.88762456428603,1.3133421664241793
SUNFLOWER MANSIONS,17 LORONG 26 GEYLANG SUNFLOWER MANSIONS SINGAPORE 398489,10377.475247524751,10377.475247524751,private,103.88505237522513,1.3120814986294453
SUITES @ SURREY,6 SURREY ROAD SUITES @ SURREY SINGAPORE 307745,20116.279069767443,20116.279069767443,private,103.84185461285658,1.315951675597669
SOPHIA HILLS,27 MOUNT SOPHIA SOPHIA HILLS SINGAPORE 228478,22175.990675990673,22176.89341952459,private,103.84769412298189,1.3005048366887535
WOLSKEL LODGE,101 WOLSKEL ROAD WOLSKEL LODGE SINGAPORE 357992,10126.126126126126,9595.587003312326,private,103.86826552354638,1.3464914055096016
LORNIE 18,12R LORNIE ROAD LORNIE 18 SINGAPORE 298747,14153.760391198044,13918.853315707402,private,103.8201499510775,1.3376080828341528
LANDED HOUSING DEVELOPMENT in LORONG 39 GEYLANG,27 LORONG 39 GEYLANG SINGAPORE 387876,16000.0,16000.0,private,103.89037090961821,1.3159705631072771
KENT RESIDENCES,23 KENT ROAD KENT RESIDENCES SINGAPORE 219219,14346.153846153846,14005.873795235497,private,103.85206821604118,1.316005055095677
ROBERTSON EDGE,18 TONG WATT ROAD ROBERTSON EDGE SINGAPORE 238010,21918.91891891892,21270.37636139616,private,103.8405385645627,1.2930922914982386
CAPITOL PARK,14 JALAN SENI CAPITOL PARK SINGAPORE 299014,24383.63587103766,25312.74371861849,private,103.81669528748799,1.3258901999226893
LEONIE PARC VIEW,22 LEONIE HILL ROAD LEONIE PARC VIEW SINGAPORE 239195,23945.96115958345,23998.40099172357,private,103.83426843976949,1.2989839840012805
CENTRAL GROVE,3 GEYLANG EAST AVENUE 1 CENTRAL GROVE SINGAPORE 389779,12139.588100686498,12485.814045499428,private,103.8844179813533,1.3162349498515855
DUCHESS RESIDENCES,110 DUCHESS AVENUE DUCHESS RESIDENCES SINGAPORE 266313,20234.89932885906,20521.37453721967,private,103.80155685704754,1.3240326004044407
THE ACACIAS,25 SOMMERVILLE ROAD THE ACACIAS SINGAPORE 358249,13879.310344827587,13777.840849501774,private,103.86839302068421,1.3444308144035664
ROSEVALE,32 LINCOLN ROAD ROSEVALE SINGAPORE 308362,19615.384615384617,19426.587941647034,private,103.84339151807906,1.3159682202540042
FORTUNE VIEW,33 SOMMERVILLE WALK FORTUNE VIEW SINGAPORE 358198,10441.988950276243,10327.509830272262,private,103.8703768012729,1.3460723290943981
WING FONG COURT,10 LORONG 14 GEYLANG WING FONG COURT SINGAPORE 398922,10513.678553981437,10193.924011993895,private,103.87881521881923,1.311734622528278
LANDED HOUSING DEVELOPMENT in JALAN TAMAN,480 LORONG 6 TOA PAYOH HOUSING AND DEVELOPMENT BOARD (HDB) SINGAPORE 310480,16013.564431047476,16046.490161066187,private,103.86460021877812,1.3264261395564267
LANDED HOUSING DEVELOPMENT in CHATSWORTH AVENUE,1 CHATSWORTH AVENUE SINGAPORE 249837,31623.931623931625,31623.931623931625,private,103.81941388907248,1.301468255921255
THE PEAK @ CAIRNHILL II,61 CAIRNHILL CIRCLE THE PEAK @ CAIRNHILL II SINGAPORE 229789,23214.285714285714,22988.88888888889,private,103.83794083955381,1.3081203835021884
18 WOODSVILLE,18 WOODSVILLE CLOSE 18 WOODSVILLE SINGAPORE 357799,17882.352941176472,17371.81343755137,private,103.86818832728805,1.3295804421182995
LANDED HOUSING DEVELOPMENT in MOONSTONE LANE,42A MOONSTONE LANE MOONSTONE GARDEN SINGAPORE 328471,11506.729229919956,11506.729229919956,private,103.86563411067633,1.3281739866171258
GREENWOOD VILLAS,10 GREENWOOD WALK GREENWOOD VILLAS SINGAPORE 289102,26187.183033656063,26727.939648534695,private,103.80574827056398,1.333664413409675
CORONATION VILLE,73 CORONATION ROAD CORONATION VILLE SINGAPORE 269470,21522.145976294447,21552.556659963826,private,103.80559286422783,1.3219204008897252
MON JERVOIS,45 JERVOIS ROAD MON JERVOIS SINGAPORE 249096,20232.558139534885,19698.056042307664,private,103.82193122195888,1.293990198879105
SAM KIANG MANSIONS,23 SAINT THOMAS WALK SAM KIANG MANSIONS SINGAPORE 238108,20275.63025210084,20329.971988795518,private,103.83535728826033,1.2984016443180806
FOUR SEASONS PARK,12 CUSCADEN WALK FOUR SEASONS PARK SINGAPORE 249694,32380.95238095238,31615.046173380168,private,103.82786677442567,1.303971017450713
ESTILO,73 WILKIE ROAD ESTILO SINGAPORE 228073,18125.0,18257.502590776814,private,103.84733555875488,1.3026301952115231
RESIDENTIAL APARTMENTS,69 WAN THO AVENUE HCSA DAYSPRING RESIDENTIAL TREATMENT CENTRE SINGAPORE 347601,8269.23076923077,8269.23076923077,private,103.8780301773861,1.3130801398611367
MACKENZIE 88,88 MACKENZIE ROAD MACKENZIE 88 SINGAPORE 228697,17500.0,17702.94218399117,private,103.84768272169657,1.3064725410445708
THE FERNHILL,1 FERNHILL ROAD THE FERNHILL SINGAPORE 259049,20491.803278688523,20491.803278688523,private,103.82596546492907,1.3143516874213266
LANDED HOUSING DEVELOPMENT in PRINCE OF WALES ROAD,10 PRINCE OF WALES ROAD SINGAPORE 266970,26519.61623517723,26519.61623517723,private,103.80927634368753,1.3241313712312062
BOON TECK TOWER,41 BOON TECK ROAD BOON TECK TOWER SINGAPORE 329608,11850.64935064935,11899.35064935065,private,103.85032777186147,1.3277185048894253
SENNETT ESTATE,40 BUTTERFLY AVENUE SENNETT ESTATE SINGAPORE 349802,19502.681618722574,18732.495698209706,private,103.87803886485398,1.3345197281852201
STEVENS LOFT,6 STEVENS DRIVE STEVENS LOFT SINGAPORE 257902,17578.125,17451.27496478501,private,103.82649059040597,1.3179326128471263
THE MONTANA,8 JALAN MUTIARA THE MONTANA SINGAPORE 249188,21114.766081871345,21317.430808716123,private,103.82908544859136,1.2962220784652057
CAMELLIA LODGE,31 LORONG 31 GEYLANG CAMELLIA LODGE SINGAPORE 388030,11318.400162337663,10933.063717532468,private,103.88653589771228,1.315355371581415
BRISTOL LODGE,53 BRISTOL ROAD BRISTOL LODGE SINGAPORE 219855,15168.539325842698,15168.539325842698,private,103.84950927082106,1.3136763409918366
WATERSCAPE AT CAVENAGH,65E CAVENAGH ROAD WATERSCAPE AT CAVENAGH SINGAPORE 229633,20901.639344262294,20869.795870561404,private,103.8411113355859,1.3040875323107615
CALDECOTT HILL ESTATE,54 ANDREW ROAD CALDECOTT HILL ESTATE SINGAPORE 299967,14377.170138888889,15949.446857684427,private,103.83323080445051,1.3362349083874416
CANBERLIN LODGE,69 LORONG 6 GEYLANG CANBERLIN LODGE SINGAPORE 399221,10000.0,9923.260643821392,private,103.8769288962361,1.309446408930615
GLOUCESTER MANSIONS,10 NEWTON ROAD GLOUCESTER MANSIONS SINGAPORE 307947,19268.29268292683,19681.74762707864,private,103.84038745809049,1.3136931558271976
LANDED HOUSING DEVELOPMENT in PARK VALE,480 LORONG 6 TOA PAYOH HOUSING AND DEVELOPMENT BOARD (HDB) SINGAPORE 310480,19567.540902737812,19567.540902737812,private,103.81040062561675,1.3298662216934534
BOTANIC GARDENS VIEW,27 TAMAN SERASI BOTANIC GARDENS VIEW SINGAPORE 257724,25038.1679389313,25187.910467590136,private,103.81989350043021,1.3085868910512026
EDENZ LOFT,11 LORONG 24 GEYLANG EDENZ LOFT SINGAPORE 398623,14258.91181988743,14580.683239524704,private,103.88353231798177,1.3123178475208608
CALARASI,31 KIM KEAT LANE CALARASI SINGAPORE 328882,11895.238095238095,12566.230342464982,private,103.85436323411102,1.3237730610219138
LANDED HOUSING DEVELOPMENT in LORONG 22 GEYLANG,22 LORONG 22 GEYLANG SINGAPORE 398679,17555.26657997399,17555.26657997399,private,103.88176566287402,1.312564285330755
CRYSTAL LODGE,30 LORONG 16 GEYLANG CRYSTAL LODGE SINGAPORE 398870,9256.202888700085,9256.202888700085,private,103.87967111568537,1.3113988799748921
MANDALE HEIGHTS,45 MANDALAY ROAD MANDALE HEIGHTS SINGAPORE 308225,16111.491960613235,15894.937490246512,private,103.84971796142513,1.3243342134580665
GILSTEAD COURT,54P GILSTEAD ROAD GILSTEAD COURT SINGAPORE 309098,18519.37984496124,19127.741678066574,private,103.83982234525706,1.3185981464280447
HAPPY MANSION,9A HAPPY AVENUE NORTH HAPPY MANSION SINGAPORE 369758,11566.929133858268,11566.929133858268,private,103.88011128209365,1.3303481371747166
CAVAN SUITES,11 CAVAN ROAD CAVAN SUITES SINGAPORE 209848,17889.84088127295,17960.255820724396,private,103.86115518666797,1.3109985592757478
UNIVERSITY PARK,8 UNIVERSITY WALK UNIVERSITY PARK SINGAPORE 297792,13922.03659506762,14484.328267444285,private,103.81738026068052,1.323705632615987
LANDED HOUSING DEVELOPMENT in BELIMBING AVENUE,31 BELIMBING AVENUE SINGAPORE 349903,12108.649035025017,12108.649035025017,private,103.87593033089209,1.3320903850034442
LLOYD SIXTYFIVE,65 LLOYD ROAD LLOYD SIXTYFIVE SINGAPORE 239114,37339.28571428571,37339.28571428571,private,103.83894025700515,1.2972729466418322
LANDED HOUSING DEVELOPMENT in LORONG 30 GEYLANG,LORONG 30 GEYLANG,16720.604099244876,16720.604099244876,private,103.88659167299689,1.312433538416609
HILL HOUSE,11 INSTITUTION HILL HILL HOUSE SINGAPORE 239666,33000.0,32840.99879888099,private,103.83969182492274,1.2953374357327996
LANDED HOUSING DEVELOPMENT in TREVOSE PLACE,11 TREVOSE PLACE TREVOSE PLACE SINGAPORE 297995,18002.455996725337,18002.455996725337,private,103.82124526108736,1.3278726003932
THE SOLITAIRE,5 BALMORAL PARK THE SOLITAIRE SINGAPORE 259866,23262.30924272963,22515.24305526742,private,103.82706249684479,1.3147857507602179
CASA FORTUNA,38 AH HOOD ROAD CASA FORTUNA SINGAPORE 329981,14765.95744680851,14616.767158686238,private,103.84835864146673,1.3284728101329462
LANDED HOUSING DEVELOPMENT in CAMBRIDGE ROAD,62 CAMBRIDGE ROAD D' CAMBRIDGE SINGAPORE 219758,26425.59109874826,23917.06065370242,private,103.84872767150989,1.3148566142243319
CASSIA VIEW,320 GUILLEMARD ROAD CASSIA VIEW SINGAPORE 399746,14444.444444444445,14120.23423169891,private,103.88663014079515,1.3110327610878691
HOLLAND HILL LODGE,5 HOLLAND HILL HOLLAND HILL LODGE SINGAPORE 278742,17028.837209302324,17028.837209302324,private,103.80291376155833,1.3098306060217177
LIV ON WILKIE,9 WILKIE TERRACE LIV ON WILKIE SINGAPORE 228025,23493.589743589742,23206.191130298273,private,103.84884035980137,1.3028071954871088
LANDED HOUSING DEVELOPMENT in JALAN KEMBOJA,51 JALAN KEMBOJA SENNETT ESTATE SINGAPORE 349440,14699.157554600271,14699.157554600271,private,103.87360322388044,1.3319353980438953
JERVOIS JADE,21 JERVOIS CLOSE JERVOIS JADE SINGAPORE 249114,12014.388489208633,12794.892509277424,private,103.8252469184337,1.2924527661416665
RACE COURSE MANSION,122 RACE COURSE ROAD RACE COURSE MANSION SINGAPORE 218583,9668.25513196481,9618.671725526565,private,103.85210395827852,1.309553239101672
THE SCOTTS TOWER,38 SCOTTS ROAD THE SCOTTS TOWER SINGAPORE 228240,22405.063291139242,22886.33665199848,private,103.83549968224105,1.3099901784558348
BELLERIVE,9 KENG CHIN ROAD BELLERIVE SINGAPORE 258711,20160.61653702103,20620.97640932537,private,103.8305470206722,1.3169867260990533
PALM SPRING,22 EWE BOON ROAD PALM SPRING SINGAPORE 259328,21978.021978021978,21564.007265136057,private,103.83126088467057,1.3167117073294934
EVERGREEN VIEW,15 LORONG 36 GEYLANG EVERGREEN VIEW SINGAPORE 398150,10337.271015237118,11002.432776526122,private,103.88854768095895,1.3135265776045613
KENTISH LODGE,3 OXFORD ROAD KENTISH LODGE SINGAPORE 218814,11680.0,11645.878623525432,private,103.85280452411287,1.3157953905676656
LANDED HOUSING DEVELOPMENT in DALKEITH ROAD,12 DALKEITH ROAD SINGAPORE 299631,18297.024063790403,17898.957341894904,private,103.82265526496168,1.3243136304491836
SKY@ELEVEN,11 THOMSON LANE SKY@ELEVEN SINGAPORE 297727,19642.85714285714,20386.726160970054,private,103.8417091672058,1.3316588951527966
TREVOSE 12,21B TREVOSE CRESCENT TREVOSE 12 SINGAPORE 298100,8779.931584948688,8779.931584948688,private,103.82448519207928,1.3225887292593905
ONE TREE HILL MANSIONS,69 ONE TREE HILL ONE TREE HILL MANSIONS SINGAPORE 248706,12133.333333333334,13058.631346578366,private,103.82534821995115,1.300587022470436
CENTRA STUDIOS,25 LORONG 25 GEYLANG CENTRA STUDIOS SINGAPORE 388302,17256.410256410258,16763.80811648669,private,103.88232400312224,1.3144400015199331
BAN GUAN PARK,27 GREENLEAF AVENUE BAN GUAN PARK SINGAPORE 279607,22880.66008845475,23285.414250133137,private,103.78733484773856,1.3240674339212146
ONE DUSUN RESIDENCES,1 JALAN DUSUN ONE DUSUN RESIDENCES SINGAPORE 329363,17759.85663082437,17925.981523459024,private,103.84367423097842,1.3269653986494885
RANGOON 88,88 RANGOON ROAD RANGOON 88 SINGAPORE 218374,16402.603238866395,15965.38946077931,private,103.8542330882629,1.3143818934602018
CHATELET,16B MARGOLIOUTH ROAD CHATELET SINGAPORE 258542,19379.84496124031,19616.87967985329,private,103.82435087440292,1.3204844148484611
EASTPAC BUILDING,586 BALESTIER ROAD EASTPAC BUILDING SINGAPORE 329898,7500.0,7500.0,private,103.84334969488704,1.3268329370782024
THE INTERWEAVE,21 KIM KEAT ROAD THE INTERWEAVE SINGAPORE 328805,16798.4375,16842.252693499016,private,103.85311187892972,1.325380805226974
CAIRNHILL RESIDENCES,33 CAIRNHILL CIRCLE CAIRNHILL RESIDENCES SINGAPORE 229775,24587.155963302754,25445.471096205525,private,103.83870513598043,1.308180496996298
THE BEAUMONT,145 DEVONSHIRE ROAD THE BEAUMONT SINGAPORE 239893,26277.372262773722,26277.372262773722,private,103.83618871051267,1.2994183907506434
HOA NAM BUILDING,27 FOCH ROAD UOB HOA NAM BUILDING SINGAPORE 209264,13291.139240506329,14298.651847277966,private,103.85995903182048,1.3127227833012365
HERTFORD MANSION,18 HERTFORD ROAD HERTFORD MANSION SINGAPORE 219380,12179.48717948718,12179.48717948718,private,103.84831442629687,1.3128109735055056
SIMS EDGE,1 GEYLANG EAST AVENUE 2 SIMS EDGE SINGAPORE 389760,16830.13217703349,17092.629904630536,private,103.88790676369905,1.3164048567153663
SANT RITZ,1 PHENG GECK AVENUE SANT RITZ SINGAPORE 348196,16640.625,16150.41734419831,private,103.8692331129161,1.3296441028082675
THE IMPERIAL,7 JALAN RUMBIA THE IMPERIAL SINGAPORE 239619,24378.37837837838,24162.4782529476,private,103.84236508163708,1.2945898860237863
LANDED HOUSING DEVELOPMENT in LILY AVENUE,1 LILY AVENUE LUCKY PARK SINGAPORE 277759,23771.790808240887,21565.96057806439,private,103.79472580423548,1.3300325929066328
SERANGOON PARK,82 JALAN GIRANG SERANGOON PARK SINGAPORE 359251,19378.036929057336,18398.944972219597,private,103.86547334060494,1.3472091879274641
MCMAHON PARK,12 JALAN ISTIMEWA MCMAHON PARK SINGAPORE 278396,22529.3739695109,23615.27642413691,private,103.78708686098635,1.3167184398322493
